user_id,user_segment_id,user_segment,register_date,first_booking_date,register_date_only,register_time_only,first_booking_date_only,first_booking_time_only,response_timedelta,response_days,response_hours
401596,139,MAY25 Register (Insider Campaign),2025-05-28 14:36:05,2025-06-01 15:56:18,2025-05-28,14:36:05,2025-06-01,15:56:18,2 days 23:53:18,2,71.0
396621,139,MAY25 Register (Insider Campaign),2025-05-12 14:34:18,2025-05-30 01:32:22,2025-05-12,14:34:18,2025-05-30,01:32:22,0 days 09:29:22,0,9.0
399678,139,MAY25 Register (Insider Campaign),2025-05-23 12:35:42,2025-06-03 11:28:25,2025-05-23,12:35:42,2025-06-03,11:28:25,4 days 19:25:25,4,115.0
395319,139,MAY25 Register (Insider Campaign),2025-05-07 19:44:09,2025-05-31 16:26:42,2025-05-07,19:44:09,2025-05-31,16:26:42,2 days 00:23:42,2,48.0
399854,139,MAY25 Register (Insider Campaign),2025-05-23 23:07:37,2025-05-31 13:47:40,2025-05-23,23:07:37,2025-05-31,13:47:40,1 days 21:44:40,1,45.0
395958,139,MAY25 Register (Insider Campaign),2025-05-10 09:53:03,2025-05-30 13:41:41,2025-05-10,09:53:03,2025-05-30,13:41:41,0 days 21:38:41,0,21.0
401471,139,MAY25 Register (Insider Campaign),2025-05-28 09:36:52,2025-05-30 10:33:39,2025-05-28,09:36:52,2025-05-30,10:33:39,0 days 18:30:39,0,18.0
401270,139,MAY25 Register (Insider Campaign),2025-05-27 16:10:31,2025-05-29 18:17:54,2025-05-27,16:10:31,2025-05-29,18:17:54,0 days 02:14:54,0,2.0
400694,139,MAY25 Register (Insider Campaign),2025-05-26 07:13:51,2025-06-01 06:42:35,2025-05-26,07:13:51,2025-06-01,06:42:35,2 days 14:39:35,2,62.0
400340,139,MAY25 Register (Insider Campaign),2025-05-25 10:33:04,2025-05-30 18:22:12,2025-05-25,10:33:04,2025-05-30,18:22:12,1 days 02:19:12,1,26.0
399068,139,MAY25 Register (Insider Campaign),2025-05-21 10:57:38,2025-05-31 12:08:09,2025-05-21,10:57:38,2025-05-31,12:08:09,1 days 20:05:09,1,44.0
399922,139,MAY25 Register (Insider Campaign),2025-05-24 09:01:45,2025-05-29 18:06:41,2025-05-24,09:01:45,2025-05-29,18:06:41,0 days 02:03:41,0,2.0
401515,139,MAY25 Register (Insider Campaign),2025-05-28 11:37:14,2025-05-30 09:25:04,2025-05-28,11:37:14,2025-05-30,09:25:04,0 days 17:22:04,0,17.0
397932,139,MAY25 Register (Insider Campaign),2025-05-17 07:43:08,2025-06-02 14:04:57,2025-05-17,07:43:08,2025-06-02,14:04:57,3 days 22:01:57,3,94.0
399224,139,MAY25 Register (Insider Campaign),2025-05-21 20:14:07,2025-06-02 06:56:03,2025-05-21,20:14:07,2025-06-02,06:56:03,3 days 14:53:03,3,86.0
396221,139,MAY25 Register (Insider Campaign),2025-05-11 10:26:50,2025-05-30 13:33:13,2025-05-11,10:26:50,2025-05-30,13:33:13,0 days 21:30:13,0,21.0
400282,139,MAY25 Register (Insider Campaign),2025-05-25 05:25:28,2025-05-31 22:05:48,2025-05-25,05:25:28,2025-05-31,22:05:48,2 days 06:02:48,2,54.0
400890,139,MAY25 Register (Insider Campaign),2025-05-26 15:48:01,2025-06-03 14:55:54,2025-05-26,15:48:01,2025-06-03,14:55:54,4 days 22:52:54,4,118.0
401078,139,MAY25 Register (Insider Campaign),2025-05-27 08:01:45,2025-05-30 22:33:20,2025-05-27,08:01:45,2025-05-30,22:33:20,1 days 06:30:20,1,30.0
400575,139,MAY25 Register (Insider Campaign),2025-05-25 19:55:15,2025-05-29 20:49:38,2025-05-25,19:55:15,2025-05-29,20:49:38,0 days 04:46:38,0,4.0
399439,139,MAY25 Register (Insider Campaign),2025-05-22 15:18:04,2025-05-29 17:24:07,2025-05-22,15:18:04,2025-05-29,17:24:07,0 days 01:21:07,0,1.0
401184,139,MAY25 Register (Insider Campaign),2025-05-27 12:39:09,2025-05-31 10:50:46,2025-05-27,12:39:09,2025-05-31,10:50:46,1 days 18:47:46,1,42.0
394144,139,MAY25 Register (Insider Campaign),2025-05-03 22:35:11,2025-05-31 23:26:45,2025-05-03,22:35:11,2025-05-31,23:26:45,2 days 07:23:45,2,55.0
401330,139,MAY25 Register (Insider Campaign),2025-05-27 19:27:48,2025-05-30 17:10:57,2025-05-27,19:27:48,2025-05-30,17:10:57,1 days 01:07:57,1,25.0
398409,139,MAY25 Register (Insider Campaign),2025-05-18 19:58:20,2025-05-30 09:09:31,2025-05-18,19:58:20,2025-05-30,09:09:31,0 days 17:06:31,0,17.0
401268,139,MAY25 Register (Insider Campaign),2025-05-27 16:07:27,2025-06-02 13:23:46,2025-05-27,16:07:27,2025-06-02,13:23:46,3 days 21:20:46,3,93.0
397783,139,MAY25 Register (Insider Campaign),2025-05-16 15:50:27,2025-06-02 08:27:15,2025-05-16,15:50:27,2025-06-02,08:27:15,3 days 16:24:15,3,88.0
393939,139,MAY25 Register (Insider Campaign),2025-05-03 11:32:08,2025-05-31 11:02:37,2025-05-03,11:32:08,2025-05-31,11:02:37,1 days 18:59:37,1,42.0
396607,139,MAY25 Register (Insider Campaign),2025-05-12 13:47:29,2025-05-30 14:25:34,2025-05-12,13:47:29,2025-05-30,14:25:34,0 days 22:22:34,0,22.0
393695,139,MAY25 Register (Insider Campaign),2025-05-02 14:48:33,2025-06-02 14:26:40,2025-05-02,14:48:33,2025-06-02,14:26:40,3 days 22:23:40,3,94.0
400083,139,MAY25 Register (Insider Campaign),2025-05-24 15:33:02,2025-05-30 14:24:58,2025-05-24,15:33:02,2025-05-30,14:24:58,0 days 22:21:58,0,22.0
397787,139,MAY25 Register (Insider Campaign),2025-05-16 16:12:08,2025-05-29 18:52:36,2025-05-16,16:12:08,2025-05-29,18:52:36,0 days 02:49:36,0,2.0
397298,139,MAY25 Register (Insider Campaign),2025-05-14 20:48:40,2025-05-31 13:52:00,2025-05-14,20:48:40,2025-05-31,13:52:00,1 days 21:49:00,1,45.0
394660,139,MAY25 Register (Insider Campaign),2025-05-05 16:30:31,2025-06-01 19:56:08,2025-05-05,16:30:31,2025-06-01,19:56:08,3 days 03:53:08,3,75.0
395984,139,MAY25 Register (Insider Campaign),2025-05-10 11:11:44,2025-06-01 17:49:17,2025-05-10,11:11:44,2025-06-01,17:49:17,3 days 01:46:17,3,73.0
401282,139,MAY25 Register (Insider Campaign),2025-05-27 17:05:58,2025-05-30 10:41:45,2025-05-27,17:05:58,2025-05-30,10:41:45,0 days 18:38:45,0,18.0
400342,139,MAY25 Register (Insider Campaign),2025-05-25 10:33:43,2025-05-30 10:20:36,2025-05-25,10:33:43,2025-05-30,10:20:36,0 days 18:17:36,0,18.0
400430,139,MAY25 Register (Insider Campaign),2025-05-25 13:50:33,2025-05-29 22:39:26,2025-05-25,13:50:33,2025-05-29,22:39:26,0 days 06:36:26,0,6.0
401328,139,MAY25 Register (Insider Campaign),2025-05-27 19:27:02,2025-05-30 20:31:53,2025-05-27,19:27:02,2025-05-30,20:31:53,1 days 04:28:53,1,28.0
401463,139,MAY25 Register (Insider Campaign),2025-05-28 09:14:50,2025-05-29 18:03:21,2025-05-28,09:14:50,2025-05-29,18:03:21,0 days 02:00:21,0,2.0
394233,139,MAY25 Register (Insider Campaign),2025-05-04 10:37:39,2025-05-30 16:59:53,2025-05-04,10:37:39,2025-05-30,16:59:53,1 days 00:56:53,1,24.0
399759,139,MAY25 Register (Insider Campaign),2025-05-23 16:42:36,2025-05-30 09:23:57,2025-05-23,16:42:36,2025-05-30,09:23:57,0 days 17:20:57,0,17.0
400854,139,MAY25 Register (Insider Campaign),2025-05-26 14:14:18,2025-05-31 17:15:38,2025-05-26,14:14:18,2025-05-31,17:15:38,2 days 01:12:38,2,49.0
401634,139,MAY25 Register (Insider Campaign),2025-05-28 16:17:56,2025-05-30 04:20:03,2025-05-28,16:17:56,2025-05-30,04:20:03,0 days 12:17:03,0,12.0
398545,139,MAY25 Register (Insider Campaign),2025-05-19 12:39:42,2025-05-31 15:32:33,2025-05-19,12:39:42,2025-05-31,15:32:33,1 days 23:29:33,1,47.0
399259,139,MAY25 Register (Insider Campaign),2025-05-21 22:32:35,2025-05-31 14:05:53,2025-05-21,22:32:35,2025-05-31,14:05:53,1 days 22:02:53,1,46.0
400335,139,MAY25 Register (Insider Campaign),2025-05-25 10:22:28,2025-06-02 14:38:58,2025-05-25,10:22:28,2025-06-02,14:38:58,3 days 22:35:58,3,94.0
400839,139,MAY25 Register (Insider Campaign),2025-05-26 13:55:46,2025-05-30 09:47:28,2025-05-26,13:55:46,2025-05-30,09:47:28,0 days 17:44:28,0,17.0
401049,139,MAY25 Register (Insider Campaign),2025-05-27 01:32:08,2025-05-30 14:37:30,2025-05-27,01:32:08,2025-05-30,14:37:30,0 days 22:34:30,0,22.0
401067,139,MAY25 Register (Insider Campaign),2025-05-27 04:25:02,2025-06-01 17:44:44,2025-05-27,04:25:02,2025-06-01,17:44:44,3 days 01:41:44,3,73.0
396440,139,MAY25 Register (Insider Campaign),2025-05-11 22:47:29,2025-05-31 08:36:39,2025-05-11,22:47:29,2025-05-31,08:36:39,1 days 16:33:39,1,40.0
400629,139,MAY25 Register (Insider Campaign),2025-05-25 22:49:52,2025-05-29 20:57:42,2025-05-25,22:49:52,2025-05-29,20:57:42,0 days 04:54:42,0,4.0
401169,139,MAY25 Register (Insider Campaign),2025-05-27 12:11:01,2025-06-01 18:42:41,2025-05-27,12:11:01,2025-06-01,18:42:41,3 days 02:39:41,3,74.0
401443,139,MAY25 Register (Insider Campaign),2025-05-28 07:59:17,2025-05-30 06:33:17,2025-05-28,07:59:17,2025-05-30,06:33:17,0 days 14:30:17,0,14.0
401386,139,MAY25 Register (Insider Campaign),2025-05-27 23:17:34,2025-05-29 16:58:28,2025-05-27,23:17:34,2025-05-29,16:58:28,0 days 00:55:28,0,0.0
401074,139,MAY25 Register (Insider Campaign),2025-05-27 06:55:11,2025-05-29 20:48:57,2025-05-27,06:55:11,2025-05-29,20:48:57,0 days 04:45:57,0,4.0
